step,train_loss,val_loss,val_ppl,lr_adamw,lr_muon,norm,dt_ms,tokens_per_sec,hella_acc
62,8.657552719116211,,,5.308988764044943e-05,0.0017696629213483145,1.9994125366210938,1648.8573551177979,317970.5014340332,
63,8.61373233795166,,,5.3932584269662916e-05,0.0017977528089887641,1.909433364868164,1648.7174034118652,317997.49242352595,
64,8.569575309753418,,,5.477528089887641e-05,0.0018258426966292138,1.83204984664917,1649.066686630249,317930.13845385803,
65,8.543109893798828,,,5.561797752808988e-05,0.0018539325842696628,1.867789626121521,1648.8425731658936,317973.352054666,
66,8.487961769104004,,,5.646067415730337e-05,0.0018820224719101125,1.7914645671844482,1649.3103504180908,317883.16848135705,
67,8.471104621887207,,,5.730337078651685e-05,0.0019101123595505617,1.6838001012802124,1649.2724418640137,317890.4750311888,
68,8.432891845703125,,,5.8146067415730335e-05,0.0019382022471910113,1.6686166524887085,1648.9522457122803,317952.20350576553,
69,8.350028991699219,,,5.8988764044943814e-05,0.001966292134831461,1.7236510515213013,1647.6459503173828,318204.28405690397,
70,8.300115585327148,,,5.98314606741573e-05,0.0019943820224719105,1.7516566514968872,1647.4957466125488,318233.2950346001,
71,8.300806045532227,,,6.067415730337078e-05,0.0020224719101123597,1.654986023902893,1648.247480392456,318088.1549869953,
72,8.221245765686035,,,6.151685393258427e-05,0.0020505617977528093,1.5735971927642822,1648.5872268676758,318022.6022957547,
73,8.180208206176758,,,6.235955056179775e-05,0.0020786516853932586,1.607386589050293,1648.0989456176758,318116.8226544232,
74,8.124914169311523,,,6.320224719101124e-05,0.0021067415730337082,1.4616798162460327,1648.5373973846436,318032.2149996522,
75,8.119362831115723,,,6.40449438202247e-05,0.002134831460674157,1.4306679964065552,1648.4441757202148,318050.20013549173,
76,8.048371315002441,,,6.48876404494382e-05,0.0021629213483146067,1.426659107208252,1648.8618850708008,317969.62786697416,
77,8.038152694702148,,,6.573033707865168e-05,0.002191011235955056,1.3477009534835815,1648.930549621582,317956.38701722183,
78,7.991509437561035,,,6.657303370786517e-05,0.002219101123595506,1.3105528354644775,1648.897647857666,317962.7314534546,
79,7.938015937805176,,,6.741573033707865e-05,0.0022471910112359553,1.427293062210083,1649.4691371917725,317852.5673372721,
80,7.89656400680542,,,6.825842696629212e-05,0.0022752808988764045,1.9549459218978882,1649.1453647613525,317914.9705070842,
81,7.884934425354004,,,6.91011235955056e-05,0.0023033707865168537,1.7070605754852295,1649.5435237884521,317838.2336926067,
